dataset,n_train,model,steps,failed,err_max,err_p95,eps,PASS
ECG_n200,100,SINDy,3109,True,0.8319941950277897,0.00018417650989703535,0.01761229089555444,False
ECG_n200,100,EDMD,1364,True,0.9206282482765545,0.000520669356907611,0.01761229089555444,False
ECG_n200,100,LinearStateMap,50000,False,0.27630409020766283,0.25764350477121234,0.01761229089555444,False
ECG_n200,100,MLP,50000,False,0.26151254324513906,0.2532895832324699,0.01761229089555444,False
ECG_n200,200,pCHA,50000,False,6.247277960239912e-05,2.637524535154938e-05,0.01761229089555444,True
ECG_n200,200,Persistence,50000,False,0.00027687009335665885,0.0001633976794544779,0.01761229089555444,True
ECG_n200,200,ESN,50000,False,0.26151303945781595,0.25328923993886976,0.01761229089555444,False
ECG_n200,200,NVAR,1037,True,0.25831311420588415,1.8349406326622766e-05,0.01761229089555444,False
ECG_n200,200,SINDy,3009,True,0.6780582651326179,0.0001846547742086767,0.01761229089555444,False
ECG_n200,200,EDMD,2274,True,1.916290545061403,0.0006571983775120236,0.01761229089555444,False
ECG_n200,200,LinearStateMap,50000,False,0.2953798537365514,0.27552493346966306,0.01761229089555444,False
ECG_n200,200,MLP,50000,False,0.261511719116498,0.25328864384550726,0.01761229089555444,False
